CUIT,Razon social,Anticipo,TRX,Rég.,ISIB Anual,DDJJs ISIB,PNG Anual,DDJJs IVA,Cod. Act.,Desc. Act. NAES,Base Imp.,AlicDec.,Imp. Decla.,Obs.,Alic.Leg.,Imp. Determ.,Diferencia,Categoria,Fecha de Proceso
20044298792,Servicios Informáticos del Sur S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20045435645,Comercial Atlántica SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20076822140,Estudio Jurídico Martínez & Asociados,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20077860860,Distribuidora Central Buenos Aires S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20082434748,Consultora Integral Tributaria SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20101195415,Transporte Logístico Pampeano S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20102347340,Constructora Río de la Plata SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20103190755,Inversiones y Desarrollos Urbanos S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20103655308,Grupo Empresarial Andino SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
27241268689,Tecnología Aplicada Argentina S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
27258049174,Agropecuaria La Esperanza SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30708981679,Supermercados del Interior S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30708994509,Servicios Gastronómicos Metropolitanos SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30708995122,Soluciones Energéticas Argentinas S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30709004057,Importadora del Plata SRL,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30709008648,Laboratorio Industrial Nacional S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20111111112,Consulting Profesional Independiente,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
20000000001,Servicios Administrativos Integrales,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
30525390086,Holding Comercial del Centro S.A.,12025,4012345678,LO,8456210,12,0,0,620100,Programación informática,1250000,3,37500,SI,5,62500,25000,Masivo,24/04/25
